Symbol,Company Name,Type,Role,Sector,Enabled
5DP,Heeton Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
5DS,Megachem Limited,Stock,Ignore,Materials,TRUE
5DX,Meta Health Limited,Stock,Ignore,Health Care,TRUE
5E2,Seatrium Limited,Stock,Ignore,Industrials,TRUE
5EB,CFM Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
5EF,Adventus Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
5EG,Zhongxin Fruit and Juice Limited,Stock,Ignore,Consumer Staples,TRUE
5EV,Hosen Group Ltd.,Stock,Ignore,Consumer Staples,TRUE
5EW,Sevens Atelier Limited,Stock,Ignore,Industrials,TRUE
5F4,Figtree Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
5F7,Wilton Resources Corporation Limited,Stock,Ignore,Materials,TRUE
5FW,Acesian Partners Limited,Stock,Ignore,Industrials,TRUE
5FX,New Wave Holdings Ltd.,Stock,Dividend_Secondary,Financials,TRUE
5G1,EuroSports Global Limited,Stock,Ignore,Consumer Discretionary,TRUE
5G2,Kim Heng Limited,Stock,Ignore,Industrials,TRUE
5G9,Tritech Group Limited,Stock,Ignore,Information Technology,TRUE
5GD,Sunpower Group Ltd.,Stock,Ignore,Industrials,TRUE
5GI,Interra Resources Limited,Stock,Ignore,Materials,TRUE
5GZ,HGH Holdings Ltd.,Stock,Dividend_Secondary,Financials,TRUE
5HG,Edition Ltd.,Stock,Ignore,Industrials,TRUE
5HH,Prospera Global Limited,Stock,Ignore,Industrials,TRUE
5HV,Koh Brothers Eco Engineering Limited,Stock,Ignore,Industrials,TRUE
5I1,KOP Limited,Stock,Ignore,Industrials,TRUE
5IC,Sing Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
5IF,Natural Cool Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
5IG,Gallant Venture Ltd.,Stock,Ignore,Industrials,TRUE
5JK,Hiap Hoe Limited,Stock,Ignore,Industrials,TRUE
5JS,Indofood Agri Resources Ltd.,Stock,Ignore,Consumer Staples,TRUE
5KI,Soup Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
5LE,Sitra Holdings (International) Limited,Stock,Dividend_Secondary,Financials,TRUE
5LY,Marco Polo Marine Ltd.,Stock,Ignore,Industrials,TRUE
