Symbol,Company Name,Type,Role,Sector,Enabled
HPCD,PetroChina Company Limited,Stock,Ignore,Industrials,TRUE
HPPD,Pop Mart International Group Limited,Stock,Ignore,Industrials,TRUE
HQU,Oiltek International Limited,Stock,Ignore,Energy,TRUE
HSHD,HSBC Holdings plc,Stock,Dividend_Secondary,Financials,TRUE
HSMD,Semiconductor Manufacturing International Corporation,Stock,Ignore,Information Technology,TRUE
HTCD,Tencent Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
HXXD,Xiaomi Corporation,Stock,Ignore,Industrials,TRUE
HYDD,BYD Company Limited,Stock,Ignore,Industrials,TRUE
I06,Intraco Limited,Stock,Ignore,Industrials,TRUE
I07,ISDN Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
I11,Renaissance United Limited,Stock,Ignore,Industrials,TRUE
I49,IFS Capital Limited,Stock,Ignore,Financials,TRUE
IBKD,PT Bank Central Asia Tbk,Stock,Dividend_Secondary,Financials,TRUE
IICD,PT Indofood CBP Sukses Makmur Tbk,Stock,Ignore,Consumer Staples,TRUE
ITS,Info-Tech Systems Ltd.,Stock,Ignore,Information Technology,TRUE
J03,Jadason Enterprises Ltd,Stock,Ignore,Industrials,TRUE
J2T,Hock Lian Seng Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
J36,Jardine Matheson Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
J69U,Frasers Centrepoint Trust,Trust,Dividend_Secondary,Real Estate,TRUE
J85,CDL Hospitality Trusts,Trust,Dividend_Secondary,Real Estate,TRUE
JYEU,Lendlease Global Commercial REIT,REIT,Dividend_Core,Real Estate,TRUE
K03,Khong Guan Limited,Stock,Ignore,Industrials,TRUE
K29,Karin Technology Holdings Limited,Stock,Dividend_Secondary,Information Technology,TRUE
K6S,Prudential plc,Stock,Ignore,Industrials,TRUE
K71U,Keppel REIT,REIT,Dividend_Core,Real Estate,TRUE
K75,Koh Brothers Group Limited,Stock,Ignore,Industrials,TRUE
KJ5,BBR Holdings (S) Ltd,Stock,Dividend_Secondary,Financials,TRUE
KUH,TSH Corporation Limited,Stock,Ignore,Industrials,TRUE
KUO,International Cement Group Ltd.,Stock,Ignore,Industrials,TRUE
KUX,OIO Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
L02,Metis Energy Limited,Stock,Ignore,Energy,TRUE
L19,Lum Chang Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
L23,Enviro-Hub Holdings Ltd.,Stock,Dividend_Secondary,Financials,TRUE
L38,AF Global Limited,Stock,Ignore,Industrials,TRUE
LGH,Leong Guan Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
LJ3,OUE Limited,Stock,Ignore,Industrials,TRUE
LMS,LMS Compliance Ltd.,Stock,Ignore,Industrials,TRUE
LS9,Leader Environmental Technologies Limited,Stock,Ignore,Information Technology,TRUE
LVR,17LIVE Group Limited,Stock,Ignore,Communication Services,TRUE
LYY,SinoCloud Group Limited,Stock,Ignore,Industrials,TRUE
M01,Metro Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
M03,Miyoshi Limited,Stock,Ignore,Industrials,TRUE
M05,MTQ Corporation Limited,Stock,Ignore,Industrials,TRUE
M11,Manufacturing Integration Technology Ltd,Stock,Ignore,Information Technology,TRUE
M14,InnoTek Limited,Stock,Ignore,Industrials,TRUE
M15,Nanyang New Development Limited,Stock,Ignore,Real Estate,TRUE
M1GU,Alpha Integrated Real Estate Investment Trust,Trust,Dividend_Secondary,Real Estate,TRUE
M44U,Mapletree Logistics Trust,Trust,Dividend_Secondary,Real Estate,TRUE
MBH,Nikko AM SGD Investment Grade Corporate Bond ETF,ETF,Macro_Signal,Financials,TRUE
ME8U,Mapletree Industrial Trust,Trust,Dividend_Secondary,Real Estate,TRUE
MF6,Mun Siong Engineering Limited,Stock,Ignore,Industrials,TRUE
MIJ,Alliance Healthcare Group Limited,Stock,Ignore,Health Care,TRUE
MR7,Nordic Group Limited,Stock,Ignore,Industrials,TRUE
MV4,Mewah International Inc.,Stock,Ignore,Industrials,TRUE
MXNU,Elite UK REIT,REIT,Dividend_Core,Real Estate,TRUE
MZH,Nanofilm Technologies International Limited,Stock,Ignore,Information Technology,TRUE
N01,Nera Telecommunications Ltd,Stock,Dividend_Secondary,Communication Services,TRUE
N02,NSL Ltd,Stock,Ignore,Industrials,TRUE
N08,New Toyo International Holdings Ltd,Stock,Dividend_Secondary,Financials,TRUE
N0Z,Combine Will International Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
N2IU,Mapletree Pan Asia Commercial Trust,Trust,Dividend_Secondary,Real Estate,TRUE
N32,Nippecraft Limited,Stock,Ignore,Industrials,TRUE
NC2,Sri Trang Agro-Industry Public Company Limited,Stock,Ignore,Industrials,TRUE
NEX,Reclaims Global Limited,Stock,Ignore,Industrials,TRUE
NHD,Jubilee Industries Holdings Ltd.,Stock,Dividend_Secondary,Financials,TRUE
NIO,NIO Inc.,Stock,Ignore,Industrials,TRUE
NPW,Malaysia Smelting Corporation Berhad,Stock,Ignore,Industrials,TRUE
NR7,Raffles Education Limited,Stock,Ignore,Industrials,TRUE
NS8U,Hutchison Port Holdings Trust,Trust,Dividend_Secondary,Industrials,TRUE
NTDU,NTT DC REIT,REIT,Dividend_Core,Real Estate,TRUE
O08,Ossia International Limited,Stock,Ignore,Industrials,TRUE
O10,Far East Orchard Limited,Stock,Ignore,Consumer Staples,TRUE
O39,Oversea-Chinese Banking Corporation Limited,Stock,Dividend_Secondary,Financials,TRUE
O5RU,AIMS APAC REIT,REIT,Dividend_Core,Real Estate,TRUE
O9E,Parkson Retail Asia Limited,Stock,Ignore,Consumer Discretionary,TRUE
OAJ,Fortress Minerals Limited,Stock,Ignore,Industrials,TRUE
ODBU,United Hampshire US Real Estate Investment Trust,Trust,Dividend_Secondary,Real Estate,TRUE
OMK,Vividthree Holdings Ltd.,Stock,Dividend_Secondary,Financials,TRUE
OTS,OTS Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
OTX,Medinex Limited,Stock,Ignore,Health Care,TRUE
OU8,Centurion Corporation Limited,Stock,Ignore,Industrials,TRUE
OV8,Sheng Siong Group Ltd,Stock,Ignore,Consumer Staples,TRUE
OVQ,Lion-OCBC Securities Hang Seng TECH ETF,ETF,Macro_Signal,Information Technology,TRUE
OXMU,Prime US REIT,REIT,Dividend_Core,Real Estate,TRUE
OYY,PropNex Limited,Stock,Ignore,Industrials,TRUE
P15,Pacific Century Regional Developments Limited,Stock,Ignore,Real Estate,TRUE
P34,Delfi Limited,Stock,Ignore,Industrials,TRUE
P36,Pan Hong Holdings Group Limited,Stock,Dividend_Secondary,Financials,TRUE
P40U,Starhill Global Real Estate Investment Trust,Trust,Dividend_Secondary,Real Estate,TRUE
P52,Pan-United Corporation Ltd,Stock,Ignore,Industrials,TRUE
P74,China Kangda Food Company Limited,Stock,Ignore,Consumer Staples,TRUE
P7VU,Hutchison Port Holdings Trust,Trust,Dividend_Secondary,Industrials,TRUE
P8A,Cordlife Group Limited,Stock,Ignore,Industrials,TRUE
P8Z,Bumitama Agri Ltd.,Stock,Ignore,Consumer Staples,TRUE
P9D,Civmec Limited,Stock,Ignore,Industrials,TRUE
PCT,PC Partner Group Limited,Stock,Ignore,Industrials,TRUE
PPC,ProsperCap Corporation Limited,Stock,Ignore,Industrials,TRUE
PRH,Livingstone Health Holdings Limited,Stock,Dividend_Secondary,Health Care,TRUE
Q01,QAF Limited,Stock,Ignore,Industrials,TRUE
Q0F,IHH Healthcare Berhad,Stock,Ignore,Health Care,TRUE
Q0X,Ley Choon Group Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
Q5T,Far East Hospitality Trust,Trust,Dividend_Secondary,Real Estate,TRUE
QC7,Q & M Dental Group (Singapore) Limited,Stock,Ignore,Health Care,TRUE
QES,China Sunsine Chemical Holdings Ltd.,Stock,Dividend_Secondary,Materials,TRUE
QNS,Southern Alliance Mining Ltd.,Stock,Ignore,Materials,TRUE
QS9,Global Invacom Group Limited,Stock,Ignore,Industrials,TRUE
QZG,Accrelist Ltd.,Stock,Ignore,Industrials,TRUE
R14,Eneco Energy Limited,Stock,Ignore,Energy,TRUE
RE4,Geo Energy Resources Limited,Stock,Ignore,Energy,TRUE
RQ1,Overseas Education Limited,Stock,Ignore,Industrials,TRUE
RXS,Pacific Radiance Ltd.,Stock,Ignore,Industrials,TRUE
S07,Shangri-La Asia Limited,Stock,Ignore,Industrials,TRUE
S08,Singapore Post Limited,Stock,Ignore,Industrials,TRUE
S19,Singapore Shipping Corporation Limited,Stock,Ignore,Industrials,TRUE
S20,The Straits Trading Company Limited,Stock,Ignore,Industrials,TRUE
S23,Singapura Finance Ltd,Stock,Ignore,Financials,TRUE
S29,Stamford Tyres Corporation Limited,Stock,Ignore,Industrials,TRUE
S35,Sing Investments & Finance Limited,Stock,Ignore,Financials,TRUE
S3N,Global Resource Construction Ltd.,Stock,Ignore,Industrials,TRUE
S41,Hong Leong Finance Limited,Stock,Ignore,Financials,TRUE
S44,EnGro Corporation Limited,Stock,Ignore,Industrials,TRUE
S56,Samudera Shipping Line Ltd,Stock,Ignore,Industrials,TRUE
S58,SATS Ltd.,Stock,Ignore,Industrials,TRUE
S59,SIA Engineering Company Limited,Stock,Ignore,Industrials,TRUE
S61,SBS Transit Ltd,Stock,Ignore,Industrials,TRUE
S63,Singapore Technologies Engineering Ltd,Stock,Ignore,Information Technology,TRUE
S68,Singapore Exchange Limited,Stock,Ignore,Industrials,TRUE
S69,Serial System Ltd,Stock,Ignore,Information Technology,TRUE
S71,Sunright Limited,Stock,Ignore,Industrials,TRUE
S7OU,Asian Pay Television Trust,Trust,Dividend_Secondary,Communication Services,TRUE
S85,Straco Corporation Limited,Stock,Ignore,Industrials,TRUE
S9B,Amcorp Global Limited,Stock,Ignore,Industrials,TRUE
SEB,Stoneweg Europe Stapled Trust,Trust,Dividend_Secondary,Real Estate,TRUE
SEJ,NoonTalk Media Limited,Stock,Ignore,Communication Services,TRUE
SES,Shanaya Limited,Stock,Ignore,Industrials,TRUE
SET,Stoneweg Europe Stapled Trust,Trust,Dividend_Secondary,Real Estate,TRUE
SGR,Sheffield Green Ltd.,Stock,Ignore,Industrials,TRUE
SHE,Soon Hock Enterprise Holding Limited,Stock,Ignore,Industrials,TRUE
SO7,Yangzijiang Shipbuilding (Holdings) Ltd.,Stock,Dividend_Secondary,Industrials,TRUE
STG,Sri Trang Gloves (Thailand) Public Company Limited,Stock,Ignore,Industrials,TRUE
T12,Tat Seng Packaging Group Ltd,Stock,Ignore,Industrials,TRUE
T13,RH PetroGas Limited,Stock,Ignore,Energy,TRUE
T14,Tianjin Pharmaceutical Da Ren Tang Group Corporation Limited,Stock,Ignore,Health Care,TRUE
T15,Tan Chong International Limited,Stock,Ignore,Industrials,TRUE
T24,Tuan Sing Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
T41,TeleChoice International Limited,Stock,Ignore,Industrials,TRUE
T43,Yunnan Energy International Co. Limited,Stock,Ignore,Energy,TRUE
T55,TIH Limited,Stock,Ignore,Industrials,TRUE
T6I,ValueMax Group Limited,Stock,Ignore,Industrials,TRUE
T82U,Suntec Real Estate Investment Trust,Trust,Dividend_Secondary,Real Estate,TRUE
TADD,Advanced Info Service Public Company Limited,Stock,Ignore,Industrials,TRUE
TATD,Airports of Thailand Public Company Limited,Stock,Ignore,Industrials,TRUE
TCPD,CP ALL Public Company Limited,Stock,Ignore,Industrials,TRUE
TCU,Credit Bureau Asia Limited,Stock,Ignore,Industrials,TRUE
TDED,Delta Electronics (Thailand) Public Company Limited,Stock,Ignore,Information Technology,TRUE
TKKD,Kasikornbank Public Company Limited,Stock,Dividend_Secondary,Financials,TRUE
TKU,Toku Ltd.,Stock,Ignore,Industrials,TRUE
TPED,PTT Exploration and Production Public Company Limited,Stock,Ignore,Industrials,TRUE
TQ5,Frasers Property Limited,Stock,Ignore,Real Estate,TRUE
TS0U,OUE Real Estate Investment Trust,Trust,Dividend_Secondary,Real Estate,TRUE
TSH,TSH Resources Berhad,Stock,Ignore,Materials,TRUE
TVV,OxPay Financial Limited,Stock,Dividend_Secondary,Financials,TRUE
TWL,Memiontec Holdings Ltd.,Stock,Dividend_Secondary,Financials,TRUE
U06,Singapore Land Group Limited,Stock,Ignore,Industrials,TRUE
U10,UOB-Kay Hian Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
U11,United Overseas Bank Limited,Stock,Dividend_Secondary,Financials,TRUE
U13,United Overseas Insurance Limited,Stock,Ignore,Financials,TRUE
U14,UOL Group Limited,Stock,Ignore,Industrials,TRUE
U77,Sarine Technologies Ltd.,Stock,Ignore,Information Technology,TRUE
U96,Sembcorp Industries Ltd,Stock,Ignore,Industrials,TRUE
U9E,China Everbright Water Limited,Stock,Ignore,Utilities,TRUE
UD1U,IREIT Global,REIT,Dividend_Core,Real Estate,TRUE
UIBU,UI Boustead Real Estate Investment Trust,Trust,Dividend_Secondary,Real Estate,TRUE
UIX,China Environmental Resources Group Limited,Stock,Ignore,Materials,TRUE
ULG,UltraGreen.ai Limited,Stock,Ignore,Industrials,TRUE
URR,Sim Leisure Group Ltd.,Stock,Ignore,Communication Services,TRUE
V03,Venture Corporation Limited,Stock,Ignore,Industrials,TRUE
V2Y,Oceanscape International Limited,Stock,Ignore,Industrials,TRUE
V3M,Metech International Limited,Stock,Ignore,Information Technology,TRUE
V7R,Resources Global Development Limited,Stock,Ignore,Materials,TRUE
V8Y,Quantum Healthcare Limited,Stock,Ignore,Health Care,TRUE
VC2,Olam Group Limited,Stock,Ignore,Industrials,TRUE
VI2,Trans-China Automotive Holdings Limited,Stock,Dividend_Secondary,Industrials,TRUE
VIN,Vin's Holdings Ltd,Stock,Dividend_Secondary,Financials,TRUE
W05,Wing Tai Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
W8W,Coliwoo Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
WJ9,Advanced Systems Automation Limited,Stock,Ignore,Information Technology,TRUE
WJP,VICOM Ltd,Stock,Ignore,Industrials,TRUE
WKS,Winking Studios Limited,Stock,Ignore,Industrials,TRUE
WPC,Vallianz Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
X5N,Avarga Limited,Stock,Ignore,Industrials,TRUE
XCF,KTMG Limited,Stock,Ignore,Industrials,TRUE
XHV,Serial Achieva Limited,Stock,Ignore,Information Technology,TRUE
XJB,"G.H.Y Culture & Media Holding Co., Limited",Stock,Ignore,Communication Services,TRUE
XWA,AEM Holdings Ltd.,Stock,Dividend_Secondary,Financials,TRUE
XZL,Acrophyte Hospitality Trust,Trust,Dividend_Secondary,Real Estate,TRUE
Y03,Yeo Hiap Seng Limited,Stock,Ignore,Industrials,TRUE
Y06,Green Build Technology Limited,Stock,Ignore,Information Technology,TRUE
Y35,AnAn International Limited,Stock,Ignore,Industrials,TRUE
Y3D,mDR Limited,Stock,Ignore,Industrials,TRUE
Y8E,Samurai 2K Aerosol Limited,Stock,Ignore,Industrials,TRUE
Y92,Thai Beverage Public Company Limited,Stock,Ignore,Consumer Staples,TRUE
YF8,Yangzijiang Financial Holding Ltd.,Stock,Dividend_Secondary,Financials,TRUE
YK9,YKGI Limited,Stock,Ignore,Industrials,TRUE
YYB,Bacui Technologies International Ltd.,Stock,Ignore,Information Technology,TRUE
Z25,Yanlord Land Group Limited,Stock,Ignore,Industrials,TRUE
Z4D,Medi Lifestyle Limited,Stock,Ignore,Consumer Discretionary,TRUE
Z59,Yoma Strategic Holdings Ltd.,Stock,Dividend_Secondary,Financials,TRUE
Z74,Singapore Telecommunications Limited,Stock,Dividend_Secondary,Communication Services,TRUE
Z77,Singapore Telecommunications Limited,Stock,Dividend_Secondary,Communication Services,TRUE
ZB9,Union Steel Holdings Limited,Stock,Dividend_Secondary,Industrials,TRUE
ZKX,Ever Glory United Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
ZQM,Soilbuild Construction Group Ltd.,Stock,Ignore,Energy,TRUE
^STI,Straits Times Index,Index,Macro_Benchmark,Financials,TRUE
