Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.3000,0.3000,0.3000,0.3000,0.3000,16800,
31 Jul 2026,0.2950,0.3100,0.2950,0.3000,0.3000,102700,
24 Jul 2026,0.2900,0.3100,0.2900,0.2950,0.2950,53300,
17 Jul 2026,0.3050,0.3050,0.2850,0.2900,0.2900,717000,
10 Jul 2026,0.3550,0.3550,0.2950,0.3050,0.3050,2353800,
3 Jul 2026,0.3600,0.3650,0.3500,0.3500,0.3500,282800,
26 Jun 2026,0.3650,0.3650,0.3600,0.3600,0.3600,168300,
19 Jun 2026,0.3600,0.3700,0.3600,0.3650,0.3650,85300,
12 Jun 2026,0.3700,0.3750,0.3600,0.3600,0.3600,204700,
5 Jun 2026,0.3750,0.3800,0.3600,0.3700,0.3700,968700,
29 May 2026,0.3850,0.3900,0.3800,0.3800,0.3800,602000,
22 May 2026,0.3900,0.3900,0.3850,0.3900,0.3900,317500,
15 May 2026,0.3950,0.4000,0.3850,0.3900,0.3900,542000,
8 May 2026,0.3950,0.4000,0.3900,0.3950,0.3950,327100,
4 May 2026,,,,,,,0.0112 Dividend
1 May 2026,0.4050,0.4100,0.4000,0.4000,0.4000,780000,
24 Apr 2026,0.3950,0.4050,0.3950,0.4000,0.4000,557000,
17 Apr 2026,0.3950,0.4050,0.3900,0.4000,0.4000,319900,
10 Apr 2026,0.3950,0.4000,0.3850,0.3950,0.3950,1241600,
3 Apr 2026,0.4000,0.4050,0.3950,0.4050,0.4050,610700,
27 Mar 2026,0.3950,0.4200,0.3900,0.4000,0.4000,213400,
20 Mar 2026,0.4000,0.4100,0.3950,0.3950,0.3950,194300,
13 Mar 2026,0.4050,0.4200,0.3900,0.4000,0.4000,1164300,
6 Mar 2026,0.4350,0.4350,0.4000,0.4100,0.4100,2266100,
27 Feb 2026,0.4750,0.4800,0.4250,0.4400,0.4400,3134400,
20 Feb 2026,0.4450,0.4750,0.4400,0.4700,0.4700,1427000,
13 Feb 2026,0.4350,0.4550,0.4350,0.4400,0.4400,473700,
6 Feb 2026,0.4550,0.4550,0.4300,0.4350,0.4350,670100,
30 Jan 2026,0.4450,0.4650,0.4450,0.4500,0.4500,727000,
23 Jan 2026,0.4450,0.4550,0.4300,0.4550,0.4550,1165000,
16 Jan 2026,0.4350,0.4500,0.4350,0.4450,0.4450,686200,
9 Jan 2026,0.4300,0.4500,0.4300,0.4400,0.4400,1456600,
2 Jan 2026,0.4200,0.4300,0.4150,0.4300,0.4300,460000,
26 Dec 2025,0.4150,0.4250,0.4150,0.4200,0.4200,285600,
19 Dec 2025,0.4250,0.4250,0.4150,0.4150,0.4150,83500,
12 Dec 2025,0.4150,0.4300,0.4100,0.4200,0.4200,299800,
5 Dec 2025,0.4300,0.4300,0.4200,0.4200,0.4200,305100,
28 Nov 2025,0.4300,0.4350,0.4200,0.4200,0.4200,748600,
21 Nov 2025,0.4300,0.4400,0.4250,0.4300,0.4300,740400,
14 Nov 2025,0.4300,0.4450,0.4300,0.4350,0.4350,358200,
7 Nov 2025,0.4450,0.4450,0.4300,0.4300,0.4300,216500,
31 Oct 2025,0.4350,0.4650,0.4350,0.4450,0.4450,1240700,
24 Oct 2025,0.4300,0.4400,0.4200,0.4350,0.4350,260100,
17 Oct 2025,0.4350,0.4450,0.4200,0.4300,0.4300,750800,
10 Oct 2025,0.4450,0.4500,0.4350,0.4450,0.4450,1234200,
3 Oct 2025,0.4450,0.4500,0.4350,0.4450,0.4450,1160200,
26 Sep 2025,0.4600,0.4600,0.4400,0.4450,0.4450,484000,
19 Sep 2025,0.4600,0.4750,0.4550,0.4600,0.4600,653400,
12 Sep 2025,0.4450,0.4750,0.4400,0.4600,0.4600,1459600,
5 Sep 2025,0.4250,0.4650,0.4150,0.4400,0.4400,3533300,
29 Aug 2025,0.4250,0.4350,0.4100,0.4200,0.4200,1173000,
22 Aug 2025,0.4150,0.4250,0.4050,0.4250,0.4250,1280500,
15 Aug 2025,0.4100,0.4400,0.4000,0.4150,0.4150,1763400,
8 Aug 2025,0.4600,0.4900,0.4050,0.4250,0.4250,3480600,
1 Aug 2025,0.4900,0.4900,0.4500,0.4650,0.4650,2836100,
25 Jul 2025,0.5050,0.5050,0.4750,0.4950,0.4950,2837000,
18 Jul 2025,0.5000,0.5300,0.4800,0.5050,0.5050,5471700,
11 Jul 2025,0.4200,0.5100,0.4200,0.5000,0.5000,5736900,
4 Jul 2025,0.4150,0.4250,0.4100,0.4150,0.4150,1192700,
27 Jun 2025,0.3950,0.4250,0.3900,0.4150,0.4150,2056000,
20 Jun 2025,0.3700,0.4050,0.3700,0.4050,0.4050,1650000,
13 Jun 2025,0.3750,0.3800,0.3700,0.3700,0.3700,446200,
6 Jun 2025,0.3750,0.3800,0.3700,0.3750,0.3750,814000,
30 May 2025,0.3750,0.3750,0.3700,0.3750,0.3750,691200,
23 May 2025,0.3800,0.3850,0.3750,0.3750,0.3750,1213500,
16 May 2025,0.3750,0.3950,0.3700,0.3850,0.3850,385400,
9 May 2025,0.3800,0.3800,0.3700,0.3700,0.3700,410700,
5 May 2025,,,,,,,0.0180 Dividend
2 May 2025,0.3800,0.3900,0.3800,0.3800,0.3620,327400,
25 Apr 2025,0.3850,0.3850,0.3750,0.3800,0.3620,273000,
18 Apr 2025,0.3850,0.3900,0.3700,0.3800,0.3620,478300,
11 Apr 2025,0.3850,0.3900,0.3550,0.3800,0.3620,1764600,
4 Apr 2025,0.4050,0.4200,0.3850,0.4000,0.3811,467900,
28 Mar 2025,0.4100,0.4100,0.4050,0.4050,0.3858,117300,
21 Mar 2025,0.4050,0.4250,0.4050,0.4050,0.3858,1077800,
14 Mar 2025,0.3650,0.4050,0.3600,0.4050,0.3858,951400,
7 Mar 2025,0.3550,0.3750,0.3550,0.3650,0.3477,510200,
28 Feb 2025,0.4100,0.4100,0.3300,0.3500,0.3334,2264900,
21 Feb 2025,0.4150,0.4150,0.4050,0.4100,0.3906,479000,
14 Feb 2025,0.4100,0.4200,0.4000,0.4150,0.3953,820700,
7 Feb 2025,0.4200,0.4200,0.4000,0.4200,0.4001,727900,
31 Jan 2025,0.3950,0.4350,0.3900,0.4200,0.4001,1222400,
24 Jan 2025,0.3600,0.3950,0.3550,0.3950,0.3763,1521200,
17 Jan 2025,0.3450,0.3650,0.3450,0.3500,0.3334,175900,
10 Jan 2025,0.3400,0.3600,0.3400,0.3450,0.3287,151700,
3 Jan 2025,0.3350,0.3400,0.3300,0.3400,0.3239,405800,
27 Dec 2024,0.3250,0.3350,0.3250,0.3350,0.3191,20700,
20 Dec 2024,0.3300,0.3400,0.3300,0.3350,0.3191,97700,
13 Dec 2024,0.3300,0.3300,0.3250,0.3250,0.3096,124000,
6 Dec 2024,0.3500,0.3500,0.3300,0.3300,0.3144,1562500,
29 Nov 2024,0.3300,0.3350,0.3300,0.3300,0.3144,230000,
22 Nov 2024,0.3300,0.3400,0.3300,0.3300,0.3144,141600,
15 Nov 2024,0.3400,0.3400,0.3300,0.3300,0.3144,280700,
8 Nov 2024,0.3400,0.3550,0.3400,0.3400,0.3239,66100,
1 Nov 2024,0.3500,0.3500,0.3400,0.3400,0.3239,141400,
25 Oct 2024,0.3450,0.3500,0.3450,0.3500,0.3334,164000,
18 Oct 2024,0.3500,0.3550,0.3450,0.3450,0.3287,99700,
11 Oct 2024,0.3500,0.3500,0.3450,0.3500,0.3334,117700,
4 Oct 2024,0.3450,0.3550,0.3450,0.3500,0.3334,162600,
27 Sep 2024,0.3500,0.3500,0.3450,0.3450,0.3287,214800,
20 Sep 2024,0.3450,0.3500,0.3350,0.3500,0.3334,1099600,
13 Sep 2024,0.3350,0.3450,0.3300,0.3400,0.3239,369700,
6 Sep 2024,0.3400,0.3450,0.3300,0.3350,0.3191,189900,
30 Aug 2024,0.3300,0.3450,0.3300,0.3400,0.3239,538300,
23 Aug 2024,0.3250,0.3300,0.3200,0.3300,0.3144,350000,
16 Aug 2024,0.3300,0.3300,0.3200,0.3250,0.3096,759000,
9 Aug 2024,0.3050,0.3300,0.2800,0.3200,0.3048,905500,
2 Aug 2024,0.3000,0.3050,0.2950,0.3050,0.2906,58500,
26 Jul 2024,0.3050,0.3050,0.2900,0.2950,0.2810,266200,
19 Jul 2024,0.3150,0.3200,0.2950,0.3000,0.2858,400100,
12 Jul 2024,0.3100,0.3200,0.3000,0.3100,0.2953,568300,
5 Jul 2024,0.2900,0.3100,0.2900,0.3050,0.2906,382300,
28 Jun 2024,0.3000,0.3000,0.2900,0.2900,0.2763,247300,
21 Jun 2024,0.3050,0.3050,0.2950,0.3000,0.2858,80100,
14 Jun 2024,0.2950,0.3050,0.2950,0.3050,0.2906,224100,
7 Jun 2024,0.3050,0.3050,0.3000,0.3050,0.2906,352700,
31 May 2024,0.3000,0.3100,0.3000,0.3050,0.2906,288300,
24 May 2024,0.2850,0.3000,0.2850,0.3000,0.2858,203200,
17 May 2024,0.2850,0.2950,0.2850,0.2850,0.2715,86700,
10 May 2024,0.2950,0.3000,0.2800,0.2850,0.2715,77200,
6 May 2024,,,,,,,0.0150 Dividend
3 May 2024,0.3100,0.3100,0.3000,0.3000,0.2715,318100,
26 Apr 2024,0.3100,0.3100,0.2950,0.3050,0.2760,350200,
19 Apr 2024,0.3050,0.3200,0.3000,0.3100,0.2806,181300,
12 Apr 2024,0.3300,0.3300,0.3000,0.3050,0.2760,491900,
